filepaths,labels,data set
train/African Wild Dog/097.jpg,African Wild Dog,train
train/African Wild Dog/098.jpg,African Wild Dog,train
train/African Wild Dog/099.jpg,African Wild Dog,train
train/African Wild Dog/100.jpg,African Wild Dog,train
train/African Wild Dog/101.jpg,African Wild Dog,train
train/African Wild Dog/102.jpg,African Wild Dog,train
train/African Wild Dog/103.jpg,African Wild Dog,train
train/African Wild Dog/104.jpg,African Wild Dog,train
train/African Wild Dog/105.jpg,African Wild Dog,train
train/African Wild Dog/106.jpg,African Wild Dog,train
train/African Wild Dog/107.jpg,African Wild Dog,train
train/African Wild Dog/108.jpg,African Wild Dog,train
train/African Wild Dog/109.jpg,African Wild Dog,train
train/Airedale/001.jpg,Airedale,train
train/Airedale/002.jpg,Airedale,train
train/Airedale/003.jpg,Airedale,train
train/Airedale/004.jpg,Airedale,train
train/Airedale/005.jpg,Airedale,train
train/Airedale/006.jpg,Airedale,train
train/Airedale/007.jpg,Airedale,train
train/Airedale/008.jpg,Airedale,train
train/Airedale/009.jpg,Airedale,train
train/Airedale/010.jpg,Airedale,train
train/Airedale/011.jpg,Airedale,train
train/Airedale/012.jpg,Airedale,train
train/Airedale/013.jpg,Airedale,train
train/Airedale/014.jpg,Airedale,train
train/Airedale/015.jpg,Airedale,train
train/Airedale/016.jpg,Airedale,train
train/Airedale/017.jpg,Airedale,train
train/Airedale/018.jpg,Airedale,train
train/Airedale/019.jpg,Airedale,train
train/Airedale/020.jpg,Airedale,train
train/Airedale/021.jpg,Airedale,train
train/Airedale/022.jpg,Airedale,train
train/Airedale/023.jpg,Airedale,train
train/Airedale/024.jpg,Airedale,train
train/Airedale/025.jpg,Airedale,train
train/Airedale/026.jpg,Airedale,train
train/Airedale/027.jpg,Airedale,train
train/Airedale/028.jpg,Airedale,train
train/Airedale/029.jpg,Airedale,train
train/Airedale/030.jpg,Airedale,train
train/Airedale/031.jpg,Airedale,train
train/Airedale/032.jpg,Airedale,train
train/Airedale/033.jpg,Airedale,train
train/Airedale/034.jpg,Airedale,train
train/Airedale/035.jpg,Airedale,train
train/Airedale/036.jpg,Airedale,train
train/Airedale/037.jpg,Airedale,train
train/Airedale/038.jpg,Airedale,train
train/Airedale/039.jpg,Airedale,train
train/Airedale/040.jpg,Airedale,train
train/Airedale/041.jpg,Airedale,train
train/Airedale/042.jpg,Airedale,train
train/Airedale/043.jpg,Airedale,train
train/Airedale/044.jpg,Airedale,train
train/Airedale/045.jpg,Airedale,train
train/Airedale/046.jpg,Airedale,train
train/Airedale/047.jpg,Airedale,train
train/Airedale/048.jpg,Airedale,train
train/Airedale/049.jpg,Airedale,train
train/Airedale/050.jpg,Airedale,train
train/Airedale/051.jpg,Airedale,train
train/Airedale/052.jpg,Airedale,train
train/Airedale/053.jpg,Airedale,train
train/Airedale/054.jpg,Airedale,train
train/Airedale/055.jpg,Airedale,train
train/Airedale/056.jpg,Airedale,train
train/Airedale/057.jpg,Airedale,train
train/Airedale/058.jpg,Airedale,train
train/Airedale/059.jpg,Airedale,train
train/Airedale/060.jpg,Airedale,train
train/Airedale/061.jpg,Airedale,train
train/Airedale/062.jpg,Airedale,train
train/Airedale/063.jpg,Airedale,train
train/Airedale/064.jpg,Airedale,train
train/Airedale/065.jpg,Airedale,train
train/Airedale/066.jpg,Airedale,train
train/Airedale/067.jpg,Airedale,train
train/Airedale/068.jpg,Airedale,train
train/Airedale/069.jpg,Airedale,train
train/Airedale/070.jpg,Airedale,train
train/Airedale/071.jpg,Airedale,train
train/Airedale/072.jpg,Airedale,train
train/Airedale/073.jpg,Airedale,train
train/Airedale/074.jpg,Airedale,train
train/Airedale/075.jpg,Airedale,train
train/Airedale/076.jpg,Airedale,train
train/Airedale/077.jpg,Airedale,train
train/Airedale/078.jpg,Airedale,train
train/Airedale/079.jpg,Airedale,train
train/Airedale/080.jpg,Airedale,train
train/Airedale/081.jpg,Airedale,train
train/Airedale/082.jpg,Airedale,train
train/Airedale/083.jpg,Airedale,train
train/Airedale/084.jpg,Airedale,train
train/Airedale/085.jpg,Airedale,train
train/Airedale/086.jpg,Airedale,train
train/Airedale/087.jpg,Airedale,train
train/Airedale/088.jpg,Airedale,train
train/Airedale/089.jpg,Airedale,train
train/Airedale/090.jpg,Airedale,train
train/Airedale/091.jpg,Airedale,train
train/Airedale/092.jpg,Airedale,train
train/Airedale/093.jpg,Airedale,train
train/Airedale/094.jpg,Airedale,train
train/Airedale/095.jpg,Airedale,train
train/Airedale/096.jpg,Airedale,train
train/Airedale/097.jpg,Airedale,train
train/Airedale/098.jpg,Airedale,train
train/Airedale/099.jpg,Airedale,train
train/Airedale/100.jpg,Airedale,train
train/Airedale/101.jpg,Airedale,train
train/Airedale/102.jpg,Airedale,train
train/Airedale/103.jpg,Airedale,train
train/Airedale/104.jpg,Airedale,train
train/Airedale/105.jpg,Airedale,train
train/Airedale/106.jpg,Airedale,train
train/Airedale/107.jpg,Airedale,train
train/Airedale/108.jpg,Airedale,train
train/Airedale/109.jpg,Airedale,train
train/Airedale/110.jpg,Airedale,train
train/Airedale/111.jpg,Airedale,train
train/Airedale/112.jpg,Airedale,train
train/Airedale/113.jpg,Airedale,train
train/Airedale/114.jpg,Airedale,train
train/Airedale/115.jpg,Airedale,train
train/Airedale/116.jpg,Airedale,train
train/Airedale/117.jpg,Airedale,train
train/American Hairless/01.jpg,American Hairless,train
train/American Hairless/02.jpg,American Hairless,train
train/American Hairless/03.jpg,American Hairless,train
train/American Hairless/04.jpg,American Hairless,train
train/American Hairless/05.jpg,American Hairless,train
train/American Hairless/06.jpg,American Hairless,train
train/American Hairless/07.jpg,American Hairless,train
train/American Hairless/08.jpg,American Hairless,train
train/American Hairless/09.jpg,American Hairless,train
train/American Hairless/10.jpg,American Hairless,train
train/American Hairless/11.jpg,American Hairless,train
train/American Hairless/12.jpg,American Hairless,train
train/American Hairless/13.jpg,American Hairless,train
train/American Hairless/14.jpg,American Hairless,train
train/American Hairless/15.jpg,American Hairless,train
train/American Hairless/16.jpg,American Hairless,train
train/American Hairless/17.jpg,American Hairless,train
train/American Hairless/18.jpg,American Hairless,train
train/American Hairless/19.jpg,American Hairless,train
train/American Hairless/20.jpg,American Hairless,train
train/American Hairless/21.jpg,American Hairless,train
train/American Hairless/22.jpg,American Hairless,train
train/American Hairless/23.jpg,American Hairless,train
train/American Hairless/24.jpg,American Hairless,train
train/American Hairless/25.jpg,American Hairless,train
train/American Hairless/26.jpg,American Hairless,train
train/American Hairless/27.jpg,American Hairless,train
train/American Hairless/28.jpg,American Hairless,train
train/American Hairless/29.jpg,American Hairless,train
train/American Hairless/30.jpg,American Hairless,train
train/American Hairless/31.jpg,American Hairless,train
train/American Hairless/32.jpg,American Hairless,train
train/American Hairless/33.jpg,American Hairless,train
train/American Hairless/34.jpg,American Hairless,train
train/American Hairless/35.jpg,American Hairless,train
train/American Hairless/36.jpg,American Hairless,train
train/American Hairless/37.jpg,American Hairless,train
train/American Hairless/38.jpg,American Hairless,train
train/American Hairless/39.jpg,American Hairless,train
train/American Hairless/40.jpg,American Hairless,train
train/American Hairless/41.jpg,American Hairless,train
train/American Hairless/42.jpg,American Hairless,train
train/American Hairless/43.jpg,American Hairless,train
train/American Hairless/44.jpg,American Hairless,train
train/American Hairless/45.jpg,American Hairless,train
train/American Hairless/46.jpg,American Hairless,train
train/American Hairless/47.jpg,American Hairless,train
train/American Hairless/48.jpg,American Hairless,train
train/American Hairless/49.jpg,American Hairless,train
train/American Hairless/50.jpg,American Hairless,train
train/American Hairless/51.jpg,American Hairless,train
train/American Hairless/52.jpg,American Hairless,train
train/American Hairless/53.jpg,American Hairless,train
train/American Hairless/54.jpg,American Hairless,train
train/American Hairless/55.jpg,American Hairless,train
train/American Hairless/56.jpg,American Hairless,train
train/American Hairless/57.jpg,American Hairless,train
train/American Hairless/58.jpg,American Hairless,train
train/American Hairless/59.jpg,American Hairless,train
train/American Hairless/60.jpg,American Hairless,train
train/American Hairless/61.jpg,American Hairless,train
train/American Hairless/62.jpg,American Hairless,train
train/American Hairless/63.jpg,American Hairless,train
train/American Hairless/64.jpg,American Hairless,train
train/American Hairless/65.jpg,American Hairless,train
train/American Spaniel/01.jpg,American Spaniel,train
train/American Spaniel/02.jpg,American Spaniel,train
train/American Spaniel/03.jpg,American Spaniel,train
train/American Spaniel/04.jpg,American Spaniel,train
train/American Spaniel/05.jpg,American Spaniel,train
train/American Spaniel/06.jpg,American Spaniel,train
train/American Spaniel/07.jpg,American Spaniel,train
train/American Spaniel/08.jpg,American Spaniel,train
train/American Spaniel/09.jpg,American Spaniel,train
train/American Spaniel/10.jpg,American Spaniel,train
train/American Spaniel/11.jpg,American Spaniel,train
train/American Spaniel/12.jpg,American Spaniel,train
train/American Spaniel/13.jpg,American Spaniel,train
train/American Spaniel/14.jpg,American Spaniel,train
train/American Spaniel/15.jpg,American Spaniel,train
train/American Spaniel/16.jpg,American Spaniel,train
train/American Spaniel/17.jpg,American Spaniel,train
train/American Spaniel/18.jpg,American Spaniel,train
train/American Spaniel/19.jpg,American Spaniel,train
train/American Spaniel/20.jpg,American Spaniel,train
train/American Spaniel/21.jpg,American Spaniel,train
train/American Spaniel/22.jpg,American Spaniel,train
train/American Spaniel/23.jpg,American Spaniel,train
train/American Spaniel/24.jpg,American Spaniel,train
train/American Spaniel/25.jpg,American Spaniel,train
train/American Spaniel/26.jpg,American Spaniel,train
train/American Spaniel/27.jpg,American Spaniel,train
train/American Spaniel/28.jpg,American Spaniel,train
train/American Spaniel/29.jpg,American Spaniel,train
train/American Spaniel/30.jpg,American Spaniel,train
train/American Spaniel/31.jpg,American Spaniel,train
train/American Spaniel/32.jpg,American Spaniel,train
train/American Spaniel/33.jpg,American Spaniel,train
train/American Spaniel/34.jpg,American Spaniel,train
train/American Spaniel/35.jpg,American Spaniel,train
train/American Spaniel/36.jpg,American Spaniel,train
train/American Spaniel/37.jpg,American Spaniel,train
train/American Spaniel/38.jpg,American Spaniel,train
train/American Spaniel/39.jpg,American Spaniel,train
train/American Spaniel/40.jpg,American Spaniel,train
train/American Spaniel/41.jpg,American Spaniel,train
train/American Spaniel/42.jpg,American Spaniel,train
train/American Spaniel/43.jpg,American Spaniel,train
train/American Spaniel/44.jpg,American Spaniel,train
train/American Spaniel/45.jpg,American Spaniel,train
train/American Spaniel/46.jpg,American Spaniel,train
train/American Spaniel/47.jpg,American Spaniel,train
train/American Spaniel/48.jpg,American Spaniel,train
train/American Spaniel/49.jpg,American Spaniel,train
train/American Spaniel/50.jpg,American Spaniel,train
train/American Spaniel/51.jpg,American Spaniel,train
train/American Spaniel/52.jpg,American Spaniel,train
train/American Spaniel/53.jpg,American Spaniel,train
train/American Spaniel/54.jpg,American Spaniel,train
train/American Spaniel/55.jpg,American Spaniel,train
train/American Spaniel/56.jpg,American Spaniel,train
train/American Spaniel/57.jpg,American Spaniel,train
train/American Spaniel/58.jpg,American Spaniel,train
train/American Spaniel/59.jpg,American Spaniel,train
train/American Spaniel/60.jpg,American Spaniel,train
train/American Spaniel/61.jpg,American Spaniel,train
train/American Spaniel/62.jpg,American Spaniel,train
train/American Spaniel/63.jpg,American Spaniel,train
train/American Spaniel/64.jpg,American Spaniel,train
train/American Spaniel/65.jpg,American Spaniel,train
train/American Spaniel/66.jpg,American Spaniel,train
train/American Spaniel/67.jpg,American Spaniel,train
train/American Spaniel/68.jpg,American Spaniel,train
train/American Spaniel/69.jpg,American Spaniel,train
train/American Spaniel/70.jpg,American Spaniel,train
train/American Spaniel/71.jpg,American Spaniel,train
train/American Spaniel/72.jpg,American Spaniel,train
train/American Spaniel/73.jpg,American Spaniel,train
train/American Spaniel/74.jpg,American Spaniel,train
train/American Spaniel/75.jpg,American Spaniel,train
train/American Spaniel/76.jpg,American Spaniel,train
train/American Spaniel/77.jpg,American Spaniel,train
train/American Spaniel/78.jpg,American Spaniel,train
train/American Spaniel/79.jpg,American Spaniel,train
train/American Spaniel/80.jpg,American Spaniel,train
train/American Spaniel/81.jpg,American Spaniel,train
train/American Spaniel/82.jpg,American Spaniel,train
train/American Spaniel/83.jpg,American Spaniel,train
train/American Spaniel/84.jpg,American Spaniel,train
train/American Spaniel/85.jpg,American Spaniel,train
train/American Spaniel/86.jpg,American Spaniel,train
train/American Spaniel/87.jpg,American Spaniel,train
train/American Spaniel/88.jpg,American Spaniel,train
train/American Spaniel/89.jpg,American Spaniel,train
train/Basenji/01.jpg,Basenji,train
train/Basenji/02.jpg,Basenji,train
train/Basenji/03.jpg,Basenji,train
train/Basenji/04.jpg,Basenji,train
train/Basenji/05.jpg,Basenji,train
train/Basenji/06.jpg,Basenji,train
train/Basenji/07.jpg,Basenji,train
train/Basenji/08.jpg,Basenji,train
train/Basenji/09.jpg,Basenji,train
train/Basenji/10.jpg,Basenji,train
train/Basenji/11.jpg,Basenji,train
train/Basenji/12.jpg,Basenji,train
train/Basenji/13.jpg,Basenji,train
train/Basenji/14.jpg,Basenji,train
train/Basenji/15.jpg,Basenji,train
train/Basenji/16.jpg,Basenji,train
train/Basenji/17.jpg,Basenji,train
train/Basenji/18.jpg,Basenji,train
train/Basenji/19.jpg,Basenji,train
train/Basenji/20.jpg,Basenji,train
train/Basenji/21.jpg,Basenji,train
train/Basenji/22.jpg,Basenji,train
train/Basenji/23.jpg,Basenji,train
train/Basenji/24.jpg,Basenji,train
train/Basenji/25.jpg,Basenji,train
train/Basenji/26.jpg,Basenji,train
train/Basenji/27.jpg,Basenji,train
train/Basenji/28.jpg,Basenji,train
train/Basenji/29.jpg,Basenji,train
train/Basenji/30.jpg,Basenji,train
train/Basenji/31.jpg,Basenji,train
train/Basenji/32.jpg,Basenji,train
train/Basenji/33.jpg,Basenji,train
train/Basenji/34.jpg,Basenji,train
train/Basenji/35.jpg,Basenji,train
train/Basenji/36.jpg,Basenji,train
train/Basenji/37.jpg,Basenji,train
train/Basenji/38.jpg,Basenji,train
train/Basenji/39.jpg,Basenji,train
train/Basenji/40.jpg,Basenji,train
train/Basenji/41.jpg,Basenji,train
train/Basenji/42.jpg,Basenji,train
train/Basenji/43.jpg,Basenji,train
train/Basenji/44.jpg,Basenji,train
train/Basenji/45.jpg,Basenji,train
train/Basenji/46.jpg,Basenji,train
train/Basenji/47.jpg,Basenji,train
train/Basenji/48.jpg,Basenji,train
train/Basenji/49.jpg,Basenji,train
train/Basenji/50.jpg,Basenji,train
train/Basenji/51.jpg,Basenji,train
train/Basenji/52.jpg,Basenji,train
train/Basenji/53.jpg,Basenji,train
train/Basenji/54.jpg,Basenji,train
train/Basenji/55.jpg,Basenji,train
train/Basenji/56.jpg,Basenji,train
train/Basenji/57.jpg,Basenji,train
train/Basenji/58.jpg,Basenji,train
train/Basenji/59.jpg,Basenji,train
train/Basenji/60.jpg,Basenji,train
train/Basenji/61.jpg,Basenji,train
train/Basenji/62.jpg,Basenji,train
train/Basenji/63.jpg,Basenji,train
train/Basenji/64.jpg,Basenji,train
train/Basenji/65.jpg,Basenji,train
train/Basenji/66.jpg,Basenji,train
train/Basenji/67.jpg,Basenji,train
train/Basenji/68.jpg,Basenji,train
train/Basenji/69.jpg,Basenji,train
train/Basenji/70.jpg,Basenji,train
train/Basenji/71.jpg,Basenji,train
train/Basenji/72.jpg,Basenji,train
train/Basenji/73.jpg,Basenji,train
train/Basenji/74.jpg,Basenji,train
train/Basenji/75.jpg,Basenji,train
train/Basenji/76.jpg,Basenji,train
train/Basenji/77.jpg,Basenji,train
train/Basenji/78.jpg,Basenji,train
train/Basenji/79.jpg,Basenji,train
train/Basenji/80.jpg,Basenji,train
train/Basenji/81.jpg,Basenji,train
train/Basenji/82.jpg,Basenji,train
train/Basenji/83.jpg,Basenji,train
train/Basenji/84.jpg,Basenji,train
train/Basenji/85.jpg,Basenji,train
train/Basenji/86.jpg,Basenji,train
train/Basenji/87.jpg,Basenji,train
train/Basenji/88.jpg,Basenji,train
train/Basenji/89.jpg,Basenji,train
train/Basenji/90.jpg,Basenji,train
train/Basenji/91.jpg,Basenji,train
train/Basenji/92.jpg,Basenji,train
train/Basenji/93.jpg,Basenji,train
train/Basenji/94.jpg,Basenji,train
train/Basenji/95.jpg,Basenji,train
train/Basenji/96.jpg,Basenji,train
train/Basenji/97.jpg,Basenji,train
train/Basenji/98.jpg,Basenji,train
train/Basenji/99.jpg,Basenji,train
train/Basset/001.jpg,Basset,train
train/Basset/002.jpg,Basset,train
train/Basset/003.jpg,Basset,train
train/Basset/004.jpg,Basset,train
train/Basset/005.jpg,Basset,train
train/Basset/006.jpg,Basset,train
train/Basset/007.jpg,Basset,train
train/Basset/008.jpg,Basset,train
train/Basset/009.jpg,Basset,train
train/Basset/010.jpg,Basset,train
train/Basset/011.jpg,Basset,train
train/Basset/012.jpg,Basset,train
train/Basset/013.jpg,Basset,train
train/Basset/014.jpg,Basset,train
train/Basset/015.jpg,Basset,train
train/Basset/016.jpg,Basset,train
train/Basset/017.jpg,Basset,train
train/Basset/018.jpg,Basset,train
train/Basset/019.jpg,Basset,train
train/Basset/020.jpg,Basset,train
train/Basset/021.jpg,Basset,train
train/Basset/022.jpg,Basset,train
train/Basset/023.jpg,Basset,train
train/Basset/024.jpg,Basset,train
train/Basset/025.jpg,Basset,train
train/Basset/026.jpg,Basset,train
train/Basset/027.jpg,Basset,train
train/Basset/028.jpg,Basset,train
train/Basset/029.jpg,Basset,train
train/Basset/030.jpg,Basset,train
train/Basset/031.jpg,Basset,train
train/Basset/032.jpg,Basset,train
train/Basset/033.jpg,Basset,train
train/Basset/034.jpg,Basset,train
train/Basset/035.jpg,Basset,train
train/Basset/036.jpg,Basset,train
train/Basset/037.jpg,Basset,train
train/Basset/038.jpg,Basset,train
train/Basset/039.jpg,Basset,train
train/Basset/040.jpg,Basset,train
train/Basset/041.jpg,Basset,train
train/Basset/042.jpg,Basset,train
train/Basset/043.jpg,Basset,train
train/Basset/044.jpg,Basset,train
train/Basset/045.jpg,Basset,train
train/Basset/046.jpg,Basset,train
train/Basset/047.jpg,Basset,train
train/Basset/048.jpg,Basset,train
train/Basset/049.jpg,Basset,train
train/Basset/050.jpg,Basset,train
train/Basset/051.jpg,Basset,train
train/Basset/052.jpg,Basset,train
train/Basset/053.jpg,Basset,train
train/Basset/054.jpg,Basset,train
train/Basset/055.jpg,Basset,train
train/Basset/056.jpg,Basset,train
train/Basset/057.jpg,Basset,train
train/Basset/058.jpg,Basset,train
train/Basset/059.jpg,Basset,train
train/Basset/060.jpg,Basset,train
train/Basset/061.jpg,Basset,train
train/Basset/062.jpg,Basset,train
train/Basset/063.jpg,Basset,train
train/Basset/064.jpg,Basset,train
